Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Desc_superficie,Superficie_m2
2017,8,Nou Barris,46,el Turó de la Peira,61-90 m²,3658
2017,8,Nou Barris,47,Can Peguera,61-90 m²,228
2017,8,Nou Barris,48,la Guineueta,61-90 m²,4765
2017,8,Nou Barris,49,Canyelles,61-90 m²,2317
2017,8,Nou Barris,50,les Roquetes,61-90 m²,2644
2017,8,Nou Barris,51,Verdun,61-90 m²,2191
2017,8,Nou Barris,52,la Prosperitat,61-90 m²,5305
2017,8,Nou Barris,53,la Trinitat Nova,61-90 m²,1607
2017,8,Nou Barris,54,Torre Baró,61-90 m²,675
2017,8,Nou Barris,55,Ciutat Meridiana,61-90 m²,1165
2017,8,Nou Barris,56,Vallbona,61-90 m²,383
2017,9,Sant Andreu,57,la Trinitat Vella,61-90 m²,1565
2017,9,Sant Andreu,58,Baró de Viver,61-90 m²,813
2017,9,Sant Andreu,59,el Bon Pastor,61-90 m²,2669
2017,9,Sant Andreu,60,Sant Andreu,61-90 m²,15020
2017,9,Sant Andreu,61,la Sagrera,61-90 m²,8002
2017,9,Sant Andreu,62,el Congrés i els Indians,61-90 m²,4248
2017,9,Sant Andreu,63,Navas,61-90 m²,6646
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,61-90 m²,10569
2017,10,Sant Martí,65,el Clot,61-90 m²,7031
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,61-90 m²,4408
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,61-90 m²,1257
2017,10,Sant Martí,68,el Poblenou,61-90 m²,7336
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,61-90 m²,3701
2017,10,Sant Martí,70,el Besòs i el Maresme,61-90 m²,5500
2017,10,Sant Martí,71,Provençals del Poblenou,61-90 m²,6318
2017,10,Sant Martí,72,Sant Martí de Provençals,61-90 m²,7829
2017,10,Sant Martí,73,la Verneda i la Pau,61-90 m²,8717
2017,1,Ciutat Vella,1,el Raval,91-120 m²,2120
2017,1,Ciutat Vella,2,el Barri Gòtic,91-120 m²,1939
2017,1,Ciutat Vella,3,la Barceloneta,91-120 m²,319
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",91-120 m²,1908
2017,2,Eixample,5,el Fort Pienc,91-120 m²,3795
2017,2,Eixample,6,la Sagrada Família,91-120 m²,4598
2017,2,Eixample,7,la Dreta de l'Eixample,91-120 m²,6152
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,91-120 m²,6805
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,91-120 m²,8236
2017,2,Eixample,10,Sant Antoni,91-120 m²,4504
2017,3,Sants-Montjuïc,11,el Poble Sec,91-120 m²,1472
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,91-120 m²,214
2017,3,Sants-Montjuïc,13,la Marina de Port,91-120 m²,1817
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,91-120 m²,807
2017,3,Sants-Montjuïc,15,Hostafrancs,91-120 m²,1146
2017,3,Sants-Montjuïc,16,la Bordeta,91-120 m²,911
2017,3,Sants-Montjuïc,17,Sants - Badal,91-120 m²,1396
2017,3,Sants-Montjuïc,18,Sants,91-120 m²,2838
2017,4,Les Corts,19,les Corts,91-120 m²,5892
2017,4,Les Corts,20,la Maternitat i Sant Ramon,91-120 m²,3185
2017,4,Les Corts,21,Pedralbes,91-120 m²,1342
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",91-120 m²,684
2017,5,Sarrià-Sant Gervasi,23,Sarrià,91-120 m²,2469
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,91-120 m²,1271
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,91-120 m²,2501
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,91-120 m²,5837
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,91-120 m²,3949
