Year,Code_District,Name_Dist,Code_NBHD,Name_NBHD,Nationality,Amount,Average_Age
2018,9,Sant Andreu,60,Sant Andreu,Spaniards,21414,46.0
2018,9,Sant Andreu,61,la Sagrera,Spaniards,10117,48.5
2018,9,Sant Andreu,62,el Congrés i els Indians,Spaniards,5033,48.3
2018,9,Sant Andreu,63,Navas,Spaniards,7583,49.0
2018,10,Sant Martí,64,el Camp de l'Arpa del Clot,Spaniards,13154,49.1
2018,10,Sant Martí,65,el Clot,Spaniards,8904,46.7
2018,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Spaniards,4798,47.5
2018,10,Sant Martí,67,la Vila Olímpica del Poblenou,Spaniards,2682,42.9
2018,10,Sant Martí,68,el Poblenou,Spaniards,10617,44.3
2018,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Spaniards,4205,42.0
2018,10,Sant Martí,70,el Besòs i el Maresme,Spaniards,6333,48.1
2018,10,Sant Martí,71,Provençals del Poblenou,Spaniards,6819,45.1
2018,10,Sant Martí,72,Sant Martí de Provençals,Spaniards,9232,49.1
2018,10,Sant Martí,73,la Verneda i la Pau,Spaniards,10013,49.4
2018,1,Ciutat Vella,1,el Raval,Foreigners,5297,31.6
2018,1,Ciutat Vella,2,el Barri Gòtic,Foreigners,2192,32.7
2018,1,Ciutat Vella,3,la Barceloneta,Foreigners,1983,32.9
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Foreigners,3113,32.8
2018,2,Eixample,5,el Fort Pienc,Foreigners,1581,31.6
2018,2,Eixample,6,la Sagrada Família,Foreigners,2475,32.1
2018,2,Eixample,7,la Dreta de l'Eixample,Foreigners,2864,33.0
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Foreigners,2444,33.3
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,Foreigners,2529,32.7
2018,2,Eixample,10,Sant Antoni,Foreigners,1925,32.5
2018,3,Sants-Montjuïc,11,el Poble Sec,Foreigners,2715,32.0
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Foreigners,20,33.2
2018,3,Sants-Montjuïc,13,la Marina de Port,Foreigners,815,31.4
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,Foreigners,423,33.2
2018,3,Sants-Montjuïc,15,Hostafrancs,Foreigners,863,31.4
2018,3,Sants-Montjuïc,16,la Bordeta,Foreigners,468,32.2
2018,3,Sants-Montjuïc,17,Sants - Badal,Foreigners,830,31.6
2018,3,Sants-Montjuïc,18,Sants,Foreigners,1432,32.1
2018,4,Les Corts,19,les Corts,Foreigners,1262,32.5
2018,4,Les Corts,20,la Maternitat i Sant Ramon,Foreigners,606,31.8
2018,4,Les Corts,21,Pedralbes,Foreigners,474,33.2
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Foreigners,145,32.6
2018,5,Sarrià-Sant Gervasi,23,Sarrià,Foreigners,724,31.7
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,Foreigners,327,34.1
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Foreigners,632,32.4
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Foreigners,1516,33.8
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Foreigners,1122,32.8
2018,6,Gràcia,28,Vallcarca i els Penitents,Foreigners,554,32.4
2018,6,Gràcia,29,el Coll,Foreigners,257,31.5
2018,6,Gràcia,30,la Salut,Foreigners,415,32.5
2018,6,Gràcia,31,la Vila de Gràcia,Foreigners,3135,32.5
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Foreigners,1202,32.4
2018,7,Horta-Guinardó,33,el Baix Guinardó,Foreigners,768,32.3
2018,7,Horta-Guinardó,34,Can Baró,Foreigners,290,30.7
2018,7,Horta-Guinardó,35,el Guinardó,Foreigners,1036,31.7
2018,7,Horta-Guinardó,36,la Font d'en Fargues,Foreigners,106,33.0
2018,7,Horta-Guinardó,37,el Carmel,Foreigners,903,31.5
2018,7,Horta-Guinardó,38,la Teixonera,Foreigners,333,31.3
2018,7,Horta-Guinardó,39,Sant Genís dels Agudells,Foreigners,185,32.2
2018,7,Horta-Guinardó,40,Montbau,Foreigners,118,30.3
2018,7,Horta-Guinardó,41,la Vall d'Hebron,Foreigners,89,31.3
2018,7,Horta-Guinardó,42,la Clota,Foreigners,16,34.5
2018,7,Horta-Guinardó,43,Horta,Foreigners,431,32.1
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Foreigners,583,32.1
2018,8,Nou Barris,45,Porta,Foreigners,591,31.4
2018,8,Nou Barris,46,el Turó de la Peira,Foreigners,524,31.0
2018,8,Nou Barris,47,Can Peguera,Foreigners,30,32.0
2018,8,Nou Barris,48,la Guineueta,Foreigners,184,32.3
2018,8,Nou Barris,49,Canyelles,Foreigners,46,32.2
