Year,Trimester,Code_Dist,Name_Dist,Code_NBHD,Name_NBHD,Thousands_Euros,Euros_M2,Type_y
2019,2,3,Sants-Montjuïc,13,la Marina de Port,182.7,2832.1,Total
2019,2,3,Sants-Montjuïc,14,la Font de la Guatlla,385.5,4566.6,Total
2019,2,3,Sants-Montjuïc,15,Hostafrancs,422.0,4492.7,Total
2019,2,3,Sants-Montjuïc,16,la Bordeta,200.7,3285.5,Total
2019,2,3,Sants-Montjuïc,17,Sants - Badal,245.0,3325.2,Total
2019,2,3,Sants-Montjuïc,18,Sants,273.0,3730.4,Total
2019,2,4,Les Corts,19,les Corts,433.8,4874.5,Total
2019,2,4,Les Corts,20,la Maternitat i Sant Ramon,357.0,4028.6,Total
2019,2,4,Les Corts,21,Pedralbes,1018.4,6651.1,Total
2019,2,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",543.0,4600.1,Total
2019,2,5,Sarrià-Sant Gervasi,23,Sarrià,859.2,6311.1,Total
2019,2,5,Sarrià-Sant Gervasi,24,les Tres Torres,743.2,5203.3,Total
2019,2,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,645.8,5725.6,Total
2019,2,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,716.1,5335.2,Total
2019,2,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,473.6,4842.1,Total
2019,2,6,Gràcia,28,Vallcarca i els Penitents,313.9,3516.4,Total
2019,2,6,Gràcia,29,el Coll,153.8,2331.4,Total
2019,2,6,Gràcia,30,la Salut,366.3,4467.3,Total
2019,2,6,Gràcia,31,la Vila de Gràcia,380.0,4835.5,Total
2019,2,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,384.1,4274.5,Total
2019,2,7,Horta-Guinardó,33,el Baix Guinardó,274.2,3803.3,Total
2019,2,7,Horta-Guinardó,34,Can Baró,208.7,3293.6,Total
2019,2,7,Horta-Guinardó,35,el Guinardó,243.0,3347.7,Total
2019,2,7,Horta-Guinardó,36,la Font d'en Fargues,286.3,3407.9,Total
2019,2,7,Horta-Guinardó,37,el Carmel,173.6,2638.9,Total
2019,2,7,Horta-Guinardó,38,la Teixonera,147.5,2405.4,Total
2019,2,7,Horta-Guinardó,39,Sant Genís dels Agudells,172.7,2266.7,Total
2019,2,7,Horta-Guinardó,40,Montbau,159.9,2694.2,Total
2019,2,7,Horta-Guinardó,41,la Vall d'Hebron,242.5,3664.6,Total
2019,2,7,Horta-Guinardó,42,la Clota,,,Total
2019,2,7,Horta-Guinardó,43,Horta,206.1,2936.6,Total
