Year,Code_Dist,Name_Dist,Code_NBHD,Name_NBHD,Gender,Nationality,Age,Amount
2017,8,Nou Barris,56,Vallbona,Dona,Spaniards,30-34 anys,25
2017,9,Sant Andreu,57,la Trinitat Vella,Dona,Spaniards,30-34 anys,193
2017,9,Sant Andreu,58,Baró de Viver,Dona,Spaniards,30-34 anys,56
2017,9,Sant Andreu,59,el Bon Pastor,Dona,Spaniards,30-34 anys,245
2017,9,Sant Andreu,60,Sant Andreu,Dona,Spaniards,30-34 anys,1508
2017,9,Sant Andreu,61,la Sagrera,Dona,Spaniards,30-34 anys,707
2017,9,Sant Andreu,62,el Congrés i els Indians,Dona,Spaniards,30-34 anys,335
2017,9,Sant Andreu,63,Navas,Dona,Spaniards,30-34 anys,494
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Dona,Spaniards,30-34 anys,923
2017,10,Sant Martí,65,el Clot,Dona,Spaniards,30-34 anys,603
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Dona,Spaniards,30-34 anys,360
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Dona,Spaniards,30-34 anys,149
2017,10,Sant Martí,68,el Poblenou,Dona,Spaniards,30-34 anys,760
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Dona,Spaniards,30-34 anys,338
2017,10,Sant Martí,70,el Besòs i el Maresme,Dona,Spaniards,30-34 anys,446
2017,10,Sant Martí,71,Provençals del Poblenou,Dona,Spaniards,30-34 anys,503
2017,10,Sant Martí,72,Sant Martí de Provençals,Dona,Spaniards,30-34 anys,578
2017,10,Sant Martí,73,la Verneda i la Pau,Dona,Spaniards,30-34 anys,575
2017,1,Ciutat Vella,1,el Raval,Dona,Spaniards,35-39 anys,870
2017,1,Ciutat Vella,2,el Barri Gòtic,Dona,Spaniards,35-39 anys,307
2017,1,Ciutat Vella,3,la Barceloneta,Dona,Spaniards,35-39 anys,333
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Dona,Spaniards,35-39 anys,578
2017,2,Eixample,5,el Fort Pienc,Dona,Spaniards,35-39 anys,900
2017,2,Eixample,6,la Sagrada Família,Dona,Spaniards,35-39 anys,1453
2017,2,Eixample,7,la Dreta de l'Eixample,Dona,Spaniards,35-39 anys,1138
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Dona,Spaniards,35-39 anys,1160
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Dona,Spaniards,35-39 anys,1545
2017,2,Eixample,10,Sant Antoni,Dona,Spaniards,35-39 anys,1081
2017,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,Dona,Spaniards,35-39 anys,1133
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell - AEI Zona Franca,Dona,Spaniards,35-39 anys,25
2017,3,Sants-Montjuïc,13,la Marina de Port,Dona,Spaniards,35-39 anys,829
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Dona,Spaniards,35-39 anys,290
2017,3,Sants-Montjuïc,15,Hostafrancs,Dona,Spaniards,35-39 anys,456
2017,3,Sants-Montjuïc,16,la Bordeta,Dona,Spaniards,35-39 anys,529
2017,3,Sants-Montjuïc,17,Sants - Badal,Dona,Spaniards,35-39 anys,692
2017,3,Sants-Montjuïc,18,Sants,Dona,Spaniards,35-39 anys,1330
2017,4,Les Corts,19,les Corts,Dona,Spaniards,35-39 anys,1364
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Dona,Spaniards,35-39 anys,728
2017,4,Les Corts,21,Pedralbes,Dona,Spaniards,35-39 anys,258
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Dona,Spaniards,35-39 anys,124
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Dona,Spaniards,35-39 anys,700
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Dona,Spaniards,35-39 anys,444
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Dona,Spaniards,35-39 anys,604
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Dona,Spaniards,35-39 anys,1185
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Dona,Spaniards,35-39 anys,835
2017,6,Gràcia,28,Vallcarca i els Penitents,Dona,Spaniards,35-39 anys,423
2017,6,Gràcia,29,el Coll,Dona,Spaniards,35-39 anys,246
2017,6,Gràcia,30,la Salut,Dona,Spaniards,35-39 anys,391
2017,6,Gràcia,31,la Vila de Gràcia,Dona,Spaniards,35-39 anys,1921
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Dona,Spaniards,35-39 anys,1148
2017,7,Horta-Guinardó,33,el Baix Guinardó,Dona,Spaniards,35-39 anys,773
2017,7,Horta-Guinardó,34,Can Baró,Dona,Spaniards,35-39 anys,248
2017,7,Horta-Guinardó,35,el Guinardó,Dona,Spaniards,35-39 anys,1150
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Dona,Spaniards,35-39 anys,267
2017,7,Horta-Guinardó,37,el Carmel,Dona,Spaniards,35-39 anys,971
2017,7,Horta-Guinardó,38,la Teixonera,Dona,Spaniards,35-39 anys,363
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Dona,Spaniards,35-39 anys,159
2017,7,Horta-Guinardó,40,Montbau,Dona,Spaniards,35-39 anys,120
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Dona,Spaniards,35-39 anys,145
2017,7,Horta-Guinardó,42,la Clota,Dona,Spaniards,35-39 anys,32
2017,7,Horta-Guinardó,43,Horta,Dona,Spaniards,35-39 anys,715
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Dona,Spaniards,35-39 anys,687
2017,8,Nou Barris,45,Porta,Dona,Spaniards,35-39 anys,758
2017,8,Nou Barris,46,el Turó de la Peira,Dona,Spaniards,35-39 anys,398
2017,8,Nou Barris,47,Can Peguera,Dona,Spaniards,35-39 anys,47
2017,8,Nou Barris,48,la Guineueta,Dona,Spaniards,35-39 anys,459
2017,8,Nou Barris,49,Canyelles,Dona,Spaniards,35-39 anys,192
2017,8,Nou Barris,50,les Roquetes,Dona,Spaniards,35-39 anys,428
2017,8,Nou Barris,51,Verdun,Dona,Spaniards,35-39 anys,381
2017,8,Nou Barris,52,la Prosperitat,Dona,Spaniards,35-39 anys,744
2017,8,Nou Barris,53,la Trinitat Nova,Dona,Spaniards,35-39 anys,206
2017,8,Nou Barris,54,Torre Baró,Dona,Spaniards,35-39 anys,83
2017,8,Nou Barris,55,Ciutat Meridiana,Dona,Spaniards,35-39 anys,250
2017,8,Nou Barris,56,Vallbona,Dona,Spaniards,35-39 anys,67
2017,9,Sant Andreu,57,la Trinitat Vella,Dona,Spaniards,35-39 anys,262
2017,9,Sant Andreu,58,Baró de Viver,Dona,Spaniards,35-39 anys,80
2017,9,Sant Andreu,59,el Bon Pastor,Dona,Spaniards,35-39 anys,425
2017,9,Sant Andreu,60,Sant Andreu,Dona,Spaniards,35-39 anys,1986
2017,9,Sant Andreu,61,la Sagrera,Dona,Spaniards,35-39 anys,982
2017,9,Sant Andreu,62,el Congrés i els Indians,Dona,Spaniards,35-39 anys,457
2017,9,Sant Andreu,63,Navas,Dona,Spaniards,35-39 anys,605
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Dona,Spaniards,35-39 anys,1187
2017,10,Sant Martí,65,el Clot,Dona,Spaniards,35-39 anys,744
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Dona,Spaniards,35-39 anys,479
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Dona,Spaniards,35-39 anys,206
2017,10,Sant Martí,68,el Poblenou,Dona,Spaniards,35-39 anys,1174
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Dona,Spaniards,35-39 anys,508
2017,10,Sant Martí,70,el Besòs i el Maresme,Dona,Spaniards,35-39 anys,535
2017,10,Sant Martí,71,Provençals del Poblenou,Dona,Spaniards,35-39 anys,710
2017,10,Sant Martí,72,Sant Martí de Provençals,Dona,Spaniards,35-39 anys,752
