"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nacionalitat","Edat_mitjana"
2014,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Llars mixtes","33.3"
2014,7,"Horta-Guinardó",40,"Montbau","Llars mixtes","34.7"
2014,7,"Horta-Guinardó",41,"la Vall d'Hebron","Llars mixtes","34.9"
2014,7,"Horta-Guinardó",42,"la Clota","Llars mixtes","42.9"
2014,7,"Horta-Guinardó",43,"Horta","Llars mixtes","33.4"
2014,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Llars mixtes","36.3"
2014,8,"Nou Barris",45,"Porta","Llars mixtes","34.2"
2014,8,"Nou Barris",46,"el Turó de la Peira","Llars mixtes","34.3"
2014,8,"Nou Barris",47,"Can Peguera","Llars mixtes","31.8"
2014,8,"Nou Barris",48,"la Guineueta","Llars mixtes","31.5"
2014,8,"Nou Barris",49,"Canyelles","Llars mixtes","35.4"
2014,8,"Nou Barris",50,"les Roquetes","Llars mixtes","35.2"
2014,8,"Nou Barris",51,"Verdun","Llars mixtes","31.3"
2014,8,"Nou Barris",52,"la Prosperitat","Llars mixtes","31.9"
2014,8,"Nou Barris",53,"la Trinitat Nova","Llars mixtes","32.1"
2014,8,"Nou Barris",54,"Torre Baró","Llars mixtes","31.6"
2014,8,"Nou Barris",55,"Ciutat Meridiana","Llars mixtes","30.7"
2014,8,"Nou Barris",56,"Vallbona","Llars mixtes","29.4"
2014,9,"Sant Andreu",57,"la Trinitat Vella","Llars mixtes","31.6"
2014,9,"Sant Andreu",58,"Baró de Viver","Llars mixtes","31.0"
2014,9,"Sant Andreu",59,"el Bon Pastor","Llars mixtes","31.8"
2014,9,"Sant Andreu",60,"Sant Andreu","Llars mixtes","34.1"
2014,9,"Sant Andreu",61,"la Sagrera","Llars mixtes","35.4"
2014,9,"Sant Andreu",62,"el Congrés i els Indians","Llars mixtes","34.1"
2014,9,"Sant Andreu",63,"Navas","Llars mixtes","34.5"
2014,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Llars mixtes","34.9"
2014,10,"Sant Martí",65,"el Clot","Llars mixtes","35.2"
2014,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Llars mixtes","34.4"
2014,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Llars mixtes","32.9"
2014,10,"Sant Martí",68,"el Poblenou","Llars mixtes","33.4"
2014,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Llars mixtes","33.5"
2014,10,"Sant Martí",70,"el Besòs i el Maresme","Llars mixtes","33.3"
2014,10,"Sant Martí",71,"Provençals del Poblenou","Llars mixtes","32.2"
2014,10,"Sant Martí",72,"Sant Martí de Provençals","Llars mixtes","33.5"
2014,10,"Sant Martí",73,"la Verneda i la Pau","Llars mixtes","35.5"
